	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	price	minimum_nights	number_of_reviews	calculated_host_listings_count	availability_365	cancellation_policy	guests_included	bedrooms	risk_rating
7067	43183486	156409670	0	27	1.2971700000000002	103.8064	194	28	0	103	364	0	1	2	0
7068	43183832	156409670	0	27	1.29508	103.8045	200	28	0	103	364	0	1	2	0
7069	43191334	156409670	0	33	1.29219	103.84141	213	28	0	103	1	2	1	2	0
7070	43193534	138649185	0	15	1.31463	103.85795999999999	170	28	0	99	364	2	1	2	0
7071	43193779	156409670	0	15	1.31369	103.85929	170	28	0	103	364	2	1	2	0
7072	43194004	156409670	0	15	1.3020100000000001	103.86216	187	28	0	103	364	2	1	2	0
7073	43194168	339298127	0	4	1.27685	103.84008	263	1	0	12	89	0	2	2	0
7074	43194247	156409670	0	33	1.2942	103.83261999999999	247	28	0	103	1	2	1	3	0
7075	43197286	109333133	0	28	1.29614	103.83966	170	6	0	29	0	2	4	0	0
7076	43198920	343845303	0	29	1.30513	103.85418	286	5	0	1	357	0	1	3	0
7077	43201568	7523836	0	20	1.3066200000000001	103.83573	53	90	0	1	364	0	1	1	1
7078	43202795	194870562	4	14	1.3420299999999998	103.6875	43	5	0	1	0	0	1	1	0
7079	43210710	138649185	0	15	1.31505	103.85729	150	28	0	99	364	2	1	1	0
7080	43216303	119613097	0	29	1.3094	103.85504	70	1	1	24	354	2	1	1	0
7081	43218302	31529615	0	21	1.32123	103.84996	152	3	0	25	361	2	3	2	0
7082	43218555	31529615	0	21	1.32361	103.85189	150	7	1	25	365	2	3	2	0
7083	43218617	31529615	0	21	1.32399	103.85176	143	28	0	25	365	2	3	2	0
7084	43222384	79366752	0	15	1.31437	103.85939	63	90	0	1	358	0	1	1	1
7085	43223385	188478841	0	21	1.32595	103.85	175	28	0	7	356	0	1	2	0
7086	43231377	234870042	0	11	1.31185	103.88648	138	3	0	37	365	2	4	2	0
7087	43249498	17056252	1	1	1.31302	103.91774000000001	60	91	0	1	90	0	1	1	1
7088	43250927	152267975	2	7	1.3515	103.82075999999999	155	90	0	13	91	0	1	2	1
7089	43253406	4267415	1	1	1.31798	103.92667	35	10	0	1	0	1	1	1	0
7090	43254119	238891646	0	10	1.27926	103.84774	159	28	0	81	364	2	1	1	0
7091	43260761	211993014	0	11	1.31505	103.89053	196	2	1	3	22	2	1	3	0
7092	43261766	289860495	0	38	1.33213	103.86811999999999	155	3	0	22	363	2	2	0	0
7093	43263545	238891646	0	10	1.27599	103.84577	157	30	0	81	364	2	1	1	1
7094	43267205	344504153	0	38	1.3315299999999999	103.86939	180	2	0	2	181	2	4	2	0
7095	43273761	324798616	0	38	1.33194	103.86695999999999	150	3	3	36	363	2	2	1	0
7096	43273946	324798616	0	38	1.3303399999999999	103.86626	147	7	0	36	365	2	2	1	0
7097	43298269	261280422	4	13	1.3202200000000002	103.74247	25	1	0	1	57	0	1	1	0
7098	43299685	339298127	0	11	1.31302	103.88675	170	7	0	12	0	0	1	3	0
7099	43312565	141641777	0	27	1.28554	103.78473000000001	159	7	0	16	363	1	3	1	0
7100	43313632	344918208	0	21	1.31512	103.84099	260	1	0	1	356	2	1	3	0
7101	43313706	7642050	0	4	1.2822	103.82807	66	30	0	1	365	0	2	0	1
7102	43313813	155244964	0	33	1.2868899999999999	103.84725999999999	100	1	0	6	336	0	2	1	0
7103	43320422	344996205	0	6	1.33195	103.8083	349	3	0	3	54	0	1	4	0
7104	43321052	344996205	0	6	1.31735	103.77486	349	7	0	3	54	0	1	3	0
7106	43321818	201775246	0	23	1.2833	103.8432	68	90	0	62	358	2	1	1	1
7107	43328947	47866620	0	15	1.3148799999999998	103.85321	60	2	0	14	1	1	3	1	0
7108	43336673	345145418	0	10	1.29691	103.85598	80	1	24	1	173	2	1	1	0
7109	43336831	295646826	0	10	1.30017	103.85823	130	30	0	1	365	0	1	1	1
7110	43337077	345145978	0	10	1.29833	103.8556	79	1	1	2	1	2	1	1	0
7111	43337094	345145978	0	10	1.29659	103.85593	80	1	45	2	173	2	1	1	2
